date,open,high,low,close,volume,amount
2026-05-20,50.5,51.0,47.95,48.98,12684393.0,0.0
2026-05-21,48.98,49.75,47.7,47.7,15228611.0,0.0
2026-05-22,48.19,48.76,47.29,47.33,10970553.0,0.0
2026-05-25,47.58,48.25,45.97,46.76,12176296.0,0.0
2026-05-26,46.7,46.7,44.78,45.72,15066330.0,0.0
2026-05-27,45.9,45.9,44.12,44.7,13793352.0,0.0
2026-05-28,44.9,44.9,43.04,43.61,9866353.0,0.0
2026-05-29,43.9,44.17,42.91,43.45,9526414.0,0.0
2026-06-01,43.45,45.27,42.68,45.09,18458644.0,0.0
2026-06-02,45.49,49.6,45.14,46.68,24919372.0,0.0
2026-06-03,46.45,46.99,45.75,46.27,12315009.0,0.0
2026-06-04,45.98,48.0,45.98,46.68,12193345.0,0.0
2026-06-05,46.61,46.85,44.86,46.53,12040579.0,0.0
2026-06-08,46.22,47.8,45.58,46.48,14709280.0,0.0
2026-06-09,47.8,48.64,46.54,48.08,13254117.0,0.0
2026-06-10,48.21,48.93,46.05,47.03,9303226.0,0.0
2026-06-11,46.98,47.95,46.14,46.25,7211494.0,0.0
2026-06-12,46.1,46.73,44.44,45.08,14627941.0,0.0
2026-06-15,44.7,46.16,44.31,45.78,12192943.0,0.0
2026-06-16,45.54,45.8,41.19,41.92,25386193.0,0.0
2026-06-17,41.78,41.87,39.89,41.32,17181288.0,0.0
2026-06-18,41.32,41.32,40.1,40.23,12650615.0,0.0
2026-06-22,40.2,40.2,37.51,38.85,20475933.0,0.0
2026-06-23,38.9,40.47,38.82,39.12,14677618.0,0.0
2026-06-24,39.29,41.11,38.69,39.58,15298198.0,0.0
2026-06-25,39.01,40.17,38.31,39.22,12765380.0,0.0
2026-06-26,39.0,39.19,37.46,38.31,17141535.0,0.0
2026-06-29,38.15,40.36,37.38,40.16,16914134.0,0.0
2026-06-30,40.15,40.19,38.78,39.17,9095395.0,0.0
2026-07-01,39.06,40.14,38.2,39.75,11599135.0,0.0
2026-07-02,39.7,41.86,39.4,41.3,21127482.0,0.0
2026-07-03,41.31,43.68,41.31,42.04,16088684.0,0.0
2026-07-06,42.0,47.1,41.39,46.0,24898858.0,0.0
2026-07-07,45.95,46.83,44.9,45.61,16153160.0,0.0
2026-07-08,45.2,47.59,44.8,44.98,13683830.0,0.0
2026-07-09,44.72,45.31,44.0,44.6,9437263.0,0.0
2026-07-10,44.6,46.36,44.01,46.0,12389835.0,0.0
2026-07-13,45.0,47.95,43.66,44.6,11866311.0,0.0
2026-07-14,44.63,45.82,44.15,45.11,10808668.0,0.0
2026-07-15,45.78,48.69,45.25,46.44,14159101.0,0.0
2026-07-16,46.0,46.44,44.36,44.62,9567443.0,0.0
2026-07-17,44.28,44.68,42.16,42.84,12193945.0,0.0
